round,clean_acc,clean_acc_percent,checkpoint_path,elapsed_seconds
256,0.5478,54.779999999999994,,3327.6887052059174
257,0.5485,54.85,,3340.7355308532715
258,0.547,54.7,,3353.7450816631317
259,0.5492,54.92,,3366.749482870102
260,0.5513,55.13,,3379.7589519023895
261,0.552,55.2,,3392.795648097992
262,0.5522,55.22,,3405.825517654419
263,0.5493,54.93,,3418.8388063907623
264,0.5496,54.96,,3431.847705602646
265,0.5545,55.45,,3444.8743438720703
266,0.5558,55.58,,3457.9130556583405
267,0.5564,55.64,,3470.938958644867
268,0.5532,55.32,,3483.972728252411
269,0.5529,55.28999999999999,,3496.9669082164764
270,0.5566,55.66,,3509.995897769928
271,0.56,56.00000000000001,,3523.0281002521515
272,0.5573,55.730000000000004,,3536.0686585903168
273,0.559,55.900000000000006,,3549.086370229721
274,0.5566,55.66,,3562.1353232860565
275,0.5563,55.63,,3575.1538083553314
276,0.5594,55.94,,3588.195405483246
277,0.5585,55.85,,3601.2179436683655
278,0.5609,56.089999999999996,,3614.245549917221
279,0.5624,56.24,,3627.2559151649475
280,0.5598,55.98,,3640.30384516716
281,0.5613,56.13,,3653.3479182720184
282,0.5593,55.93,,3666.36993598938
283,0.5599,55.989999999999995,,3679.396905899048
284,0.5609,56.089999999999996,,3692.43226313591
285,0.5644,56.44,,3705.4487948417664
286,0.5648,56.48,,3718.4602229595184
287,0.5662,56.620000000000005,,3731.4930624961853
288,0.5623,56.230000000000004,,3744.530570268631
289,0.5645,56.45,,3757.562523126602
290,0.5665,56.65,,3770.5947391986847
291,0.5649,56.489999999999995,,3783.594606399536
292,0.5663,56.63,,3796.6066942214966
293,0.5687,56.87,,3809.635869026184
294,0.5685,56.85,,3822.690409183502
295,0.5688,56.879999999999995,,3835.7096076011658
296,0.5694,56.940000000000005,,3848.7481496334076
297,0.5706,57.06,,3861.7812745571136
298,0.5714,57.14,,3874.8343589305878
299,0.5705,57.05,,3887.8825199604034
300,0.5702,57.02,/home/kemove/zlf/FedSGD2/results/table_iv_ours_main1_aligned_seed1_r1000_fromscratch/checkpoints/round_0300.pth,3900.9397428035736
301,0.5705,57.05,,3913.9751727581024
302,0.5677,56.769999999999996,,3926.994292974472
303,0.5669,56.69,,3940.0132763385773
304,0.563,56.3,,3953.02330160141
305,0.5639,56.38999999999999,,3966.0545415878296
306,0.5681,56.81,,3979.0839915275574
307,0.5734,57.34,,3992.12996673584
308,0.5702,57.02,,4005.143252849579
309,0.5659,56.589999999999996,,4018.1674389839172
310,0.5726,57.26,,4031.210347175598
311,0.5733,57.330000000000005,,4044.2402968406677
312,0.5754,57.54,,4057.284859418869
313,0.5736,57.36,,4070.3238639831543
314,0.5686,56.86,,4083.3430557250977
315,0.5706,57.06,,4096.340704679489
316,0.5732,57.32000000000001,,4109.343924283981
317,0.5777,57.769999999999996,,4122.354573965073
318,0.5731,57.31,,4135.367183923721
319,0.5681,56.81,,4148.37824010849
320,0.5749,57.489999999999995,,4161.359906435013
321,0.5814,58.14,,4174.382444381714
322,0.5742,57.42,,4187.394041776657
323,0.5741,57.410000000000004,,4200.427860021591
324,0.5812,58.120000000000005,,4213.44616818428
325,0.5834,58.34,,4226.476647615433
326,0.5793,57.93000000000001,,4239.525790214539
327,0.5763,57.63,,4252.552891254425
328,0.5762,57.620000000000005,,4265.580897808075
329,0.5824,58.24,,4278.597688674927
330,0.5818,58.18,,4291.646685600281
331,0.5767,57.67,,4304.678329944611
332,0.5774,57.74,,4317.691452741623
333,0.585,58.5,,4330.7025310993195
334,0.5885,58.85,,4343.703238248825
